Inning,Top,Runners,Outs,-4,-3,-2,-1,0,1,2,3,4
4,FALSE,123,0,2.6,2.8,2.8,2.6,2.1,1.6,1.1,0.8,0.5
4,FALSE,___,1,0.5,0.7,0.8,0.9,0.8,0.6,0.5,0.3,0.2
4,FALSE,1__,1,1,1.3,1.5,1.6,1.4,1.1,0.8,0.6,0.4
4,FALSE,_2_,1,1.1,1.3,1.5,1.6,1.4,1.2,0.9,0.6,0.4
4,FALSE,__3,1,1,1.3,1.6,1.7,1.6,1.3,1,0.7,0.5
4,FALSE,12_,1,1.8,2.2,2.5,2.5,2.2,1.8,1.3,0.9,0.6
4,FALSE,1_3,1,1.7,2,2.2,2.3,2.1,1.7,1.3,0.9,0.6
4,FALSE,_23,1,1.6,1.8,2,1.9,1.7,1.4,1,0.7,0.5
4,FALSE,123,1,2.7,3.2,3.3,3.2,2.8,2.2,1.6,1.1,0.7
4,FALSE,___,2,0.3,0.4,0.5,0.6,0.5,0.4,0.3,0.2,0.2
4,FALSE,1__,2,0.7,0.8,1,1.1,1,0.8,0.6,0.4,0.3
4,FALSE,_2_,2,0.9,1.1,1.4,1.5,1.4,1.1,0.9,0.6,0.4
4,FALSE,__3,2,1,1.3,1.6,1.7,1.6,1.3,1,0.7,0.5
4,FALSE,12_,2,1.4,1.8,2.1,2.2,2,1.6,1.2,0.8,0.6
4,FALSE,1_3,2,1.5,1.9,2.2,2.3,2.1,1.7,1.3,0.9,0.6
4,FALSE,_23,2,1.7,2.1,2.5,2.6,2.3,1.9,1.4,1,0.7
4,FALSE,123,2,2.6,3.2,3.6,3.7,3.3,2.6,1.9,1.4,0.9
5,TRUE,___,0,0.4,0.5,0.7,1,1.2,1.3,1.1,0.9,0.7
5,TRUE,1__,0,0.5,0.8,1.1,1.5,1.9,2,1.9,1.6,1.2
5,TRUE,_2_,0,0.4,0.6,0.9,1.2,1.5,1.7,1.6,1.4,1.1
5,TRUE,__3,0,0.3,0.5,0.7,1,1.3,1.5,1.5,1.3,1.1
